building_name,num_tiles,coating_deterioration_mean,cracks_mean,masonry_degradation_mean,moisture_bio_damage_mean,vandalism_mean,coating_deterioration_max,cracks_max,masonry_degradation_max,moisture_bio_damage_max,vandalism_max,coating_deterioration_prevalence,cracks_prevalence,masonry_degradation_prevalence,moisture_bio_damage_prevalence,vandalism_prevalence
DSC02438,24,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.33,0.0
IMG_20260410_140444559_HDR,30,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.02,0.05,0.01,0.17,0.0,0.13,0.17,0.03
31,12,0.06,0.0,0.0,0.08,0.0,0.27,0.01,0.0,0.22,0.0,0.5,0.08,0.0,0.5,0.0
2026-04-02 17-26-12,36,0.01,0.0,0.0,0.01,0.0,0.11,0.0,0.02,0.09,0.01,0.19,0.0,0.03,0.11,0.0
DSC02515,42,0.01,0.04,0.0,0.0,0.0,0.07,0.33,0.02,0.04,0.03,0.26,0.36,0.02,0.07,0.02
DSC02556,36,0.01,0.01,0.0,0.01,0.0,0.03,0.04,0.03,0.08,0.01,0.22,0.25,0.03,0.22,0.0
DSC02216,24,0.02,0.0,0.01,0.17,0.0,0.16,0.0,0.05,0.67,0.04,0.29,0.0,0.12,0.75,0.04
DSC02278,24,0.02,0.0,0.0,0.01,0.0,0.24,0.03,0.0,0.08,0.01,0.17,0.08,0.0,0.17,0.04
IMG_20260410_141005863_HDR,30,0.3,0.01,0.0,0.06,0.0,0.64,0.14,0.04,0.31,0.02,0.87,0.1,0.1,0.47,0.07
IMG_20260410_140737889_HDR,16,0.1,0.0,0.0,0.02,0.0,0.3,0.03,0.01,0.08,0.0,0.75,0.06,0.0,0.25,0.0
IMG_20260315_150549079_HDR,30,0.01,0.0,0.0,0.09,0.0,0.06,0.01,0.03,0.51,0.02,0.2,0.0,0.03,0.33,0.03
IMG_20260320_153217,30,0.02,0.0,0.0,0.0,0.0,0.11,0.02,0.0,0.05,0.03,0.33,0.17,0.0,0.13,0.03
DSC02253,24,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.01,0.0,0.08,0.0,0.0,0.04,0.0
IMG_20260410_134923210_HDR,30,0.09,0.0,0.0,0.09,0.0,0.3,0.02,0.02,0.45,0.0,0.77,0.17,0.03,0.63,0.0
IMG_20260410_140248530_HDR,30,0.05,0.0,0.0,0.03,0.0,0.21,0.01,0.04,0.22,0.04,0.47,0.03,0.1,0.3,0.07
DSC02420,42,0.01,0.0,0.0,0.0,0.0,0.1,0.01,0.02,0.03,0.01,0.21,0.02,0.02,0.1,0.02
DSC02369,24,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.04,0.0
DSC02574,24,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0
DSC02171,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.0,0.0,0.0,0.08,0.04
60,12,0.02,0.0,0.0,0.03,0.0,0.11,0.01,0.0,0.25,0.0,0.25,0.08,0.0,0.17,0.0
N-1,12,0.07,0.0,0.0,0.0,0.0,0.24,0.03,0.0,0.0,0.0,0.58,0.08,0.0,0.0,0.0
1000032462,24,0.02,0.01,0.0,0.0,0.0,0.13,0.04,0.05,0.01,0.01,0.21,0.21,0.08,0.0,0.0
Маяковского 22 24,30,0.02,0.0,0.01,0.01,0.0,0.15,0.01,0.07,0.11,0.0,0.33,0.0,0.17,0.13,0.0
DSC02309,24,0.03,0.0,0.0,0.11,0.0,0.15,0.0,0.01,0.25,0.01,0.42,0.0,0.0,0.67,0.04
DSC02499,24,0.01,0.0,0.0,0.0,0.0,0.07,0.0,0.01,0.02,0.02,0.29,0.0,0.0,0.08,0.12
DSC02189,24,0.0,0.0,0.0,0.01,0.0,0.05,0.0,0.0,0.11,0.01,0.08,0.0,0.0,0.21,0.0
IMG_20260410_135220097_HDR,30,0.17,0.0,0.0,0.02,0.0,0.58,0.02,0.01,0.13,0.01,0.83,0.03,0.03,0.3,0.0
DSC02364,24,0.0,0.01,0.0,0.01,0.0,0.02,0.04,0.0,0.11,0.0,0.17,0.21,0.0,0.29,0.0
IMG_20260320_153746,30,0.03,0.0,0.0,0.0,0.0,0.23,0.02,0.06,0.03,0.04,0.33,0.07,0.1,0.07,0.03
