building_name,coating_deterioration_score,cracks_score,masonry_degradation_score,moisture_bio_damage_score,vandalism_score,Global_Damage_Index
DSC02396,0.25625450570129865,0.018104272104409763,0.061800399655581366,0.02578176407335823,0.19345825693977936,0.11107983969488547
DSC02137,0.147538744800463,0.22425539824856877,0.12436233814761263,0.009447963787072512,0.046952977859691165,0.11051148456868162
DSC02364,0.09744871538859876,0.30423193096160156,0.0,0.14575084276983347,0.0,0.10948629782400676
DSC02481,0.25086526387756,0.0497734039599408,0.0,0.05067891596604618,0.18716703563979428,0.10769692388866825
DSC02420,0.1313329429802443,0.14681264892386195,0.12436233814761263,0.043814860414693964,0.08273557978945158,0.1058116740511729
DSC02175,0.25840793477267576,0.0,0.0,0.14377832956179026,0.12480620105395888,0.10539849307768498
DSC02485,0.18292081134776736,0.018104272104409763,0.061800399655581366,0.26352080997613264,0.0,0.10526925861677823
DSC02393,0.20117089003888863,0.0,0.0,0.25901253589079876,0.06241142563659872,0.10451897031325723
IMG_20260318_131740050_HDR,0.12308475964516227,0.39514870496816323,0.0,0.0,0.0,0.10364669292266511
1000032446,0.3047492207040571,0.07577119676140202,0.0,0.13690548520691517,0.0,0.10348518053447486
DSC02143,0.3613421828409356,0.018104272104409763,0.0,0.09595921383770366,0.034355806219625355,0.10195229500053486
DSC02283,0.3582165376583553,0.0,0.06332753886894221,0.0839590579319716,0.0,0.10110062689185381
13,0.5048155581654308,0.0,0.0,0.0,0.0,0.10096311163308616
DSC02453,0.25625450570129865,0.0814167836051128,0.0,0.012890882036679116,0.13110126471222977,0.09633268721106406
1000019118,0.2832606216090896,0.0,0.061800399655581366,0.012030343535223614,0.123375562985538,0.0960933855570865
DSC02342,0.3932755475378987,0.0497734039599408,0.0,0.03697067520174125,0.0,0.09600392533991614
DSC02459,0.14533573186127346,0.018104272104409763,0.0,0.2342594439515072,0.07500667609752161,0.0945412248029424
DSC02187,0.25409972280417925,0.0497734039599408,0.0,0.012890882036679116,0.13739632837050067,0.09083206743425995
DSC02470,0.2994347777525816,0.018104272104409763,0.0,0.13540030707315265,0.0,0.09058787138602879
1000032447,0.3625025807303213,0.018104272104409763,0.0,0.060144457360164404,0.0,0.08815026203897909
DSC02193,0.14520931838258438,0.1355617423290018,0.0,0.09597984841988777,0.054681881551621125,0.08628655813661902
DSC02152,0.14643723833086825,0.10963886504858505,0.0,0.16862007378009497,0.0,0.08493923543190965
DSC02391,0.15135754876311094,0.0,0.061800399655581366,0.1311446155586278,0.06870905086706017,0.08260232296887607
DSC02244,0.3004983771013914,0.018104272104409763,0.0,0.09339976140309045,0.0,0.08240048212177833
DSC02356,0.11976907117400384,0.1648033771916887,0.06256396926226179,0.03006458624223624,0.034355806219625355,0.08231136201796319
48,0.21475466985266992,0.1355617423290018,0.0,0.054121069971868184,0.0,0.08088749643070799
15,0.20117089003888863,0.0,0.0,0.18814344550139359,0.0,0.07786286710805644
DSC02388,0.22612849837033228,0.018104272104409763,0.0,0.03867149974436045,0.1001952558402245,0.07661990521186539
DSC02304,0.10904203290473467,0.09948289561599052,0.0,0.16780271505246916,0.0,0.07526552871463887
DSC02359,0.1634536433143008,0.018104272104409763,0.061800399655581366,0.1157149156695196,0.006298906016556722,0.07307442735207366
DSC02369,0.0,0.0,0.31354889282407034,0.04467539891614947,0.006298906016556722,0.07290463955135532
47,0.09523233342020382,0.0,0.0,0.2686148769223597,0.0,0.0727694420685127
DSC02201,0.14423388693524314,0.15356815603404722,0.061800399655581366,0.0,0.0,0.07192048852497435
DSC02464,0.20226173513076265,0.018104272104409763,0.0,0.12514950519036167,0.006298906016556722,0.07036288368841817
45,0.3004983771013914,0.0,0.0,0.04874423282534049,0.0,0.06984852198534637
DSC02226,0.2125782257436734,0.104001003867982,0.0,0.022338845823751625,0.006298906016556722,0.06904339629039276
DSC02171,0.0011133524448400623,0.0,0.0,0.035228963616646146,0.3024454689310111,0.06775755699849946
DSC02270,0.25625450570129865,0.0814167836051128,0.0,0.0,0.0,0.06753425786128228
DSC02255,0.14313221123743058,0.1310522961841311,0.0,0.0,0.06241142563659872,0.06731918661163208
76,0.09634060901851019,0.1524343564452398,0.06485670885253358,0.0,0.0,0.06272633486325671
DSC02428,0.09744871538859876,0.11301755504769075,0.0,0.035228963616646146,0.06241142563659872,0.06162133193790688
DSC02489,0.30687252715266755,0.0,0.0,0.0,0.0,0.06137450543053351
18,0.30368714440920735,0.0,0.0,0.0,0.0,0.06073742888184147
DSC02405,0.25733130485109607,0.0,0.0,0.035228963616646146,0.0,0.058512053693548435
DSC02438,0.04933797921200573,0.0,0.0,0.2180677930091564,0.0,0.053481154444232425
54,0.20822279910241354,0.0,0.0,0.05818952175916691,0.0,0.053282464172316094
46,0.09744871538859876,0.0814167836051128,0.0,0.06507306552702634,0.0,0.04878771290414759
DSC02253,0.20117089003888863,0.018104272104409763,0.0,0.012890882036679116,0.0,0.046433208835995506
DSC02287,0.05044997783110347,0.018104272104409763,0.12512590775429305,0.035228963616646146,0.0,0.04578182426129049
DSC02140,0.04933797921200573,0.06786175651612861,0.0,0.09683962267755866,0.0,0.0428078716811386
IMG_20260318_120221,0.16629092361376704,0.0,0.0,0.012030343535223614,0.0,0.035664253429798135
20,0.1035065779008255,0.0,0.0,0.06763366432731645,0.006298906016556722,0.035487829648939734
44,0.0011133524448400623,0.17041665671694903,0.0,0.0,0.0,0.03430600183235782
DSC02182,0.11014878544908092,0.018104272104409763,0.0,0.03352813907402694,0.0,0.03235623932550353
DSC02189,0.051561807221983426,0.018104272104409763,0.0,0.08995951800672992,0.0,0.031925119466624616
DSC02446,0.09634060901851019,0.0,0.0,0.0,0.06241142563659872,0.03175040693102178
DSC02333,0.05044997783110347,0.0,0.0,0.09939907511217189,0.0,0.029969810588655072
1000032450,0.13035581925072515,0.0,0.0,0.009447963787072512,0.0,0.027960756607559534
IMG_20260320_081159910_HDR,0.0011133524448400623,0.07577119676140202,0.061800399655581366,0.0,0.0,0.02773698977236469
1000032464,0.03756629515431921,0.04185787682858252,0.0,0.05326053147041268,0.0,0.02653694069066288
DSC02323,0.0,0.0,0.0,0.12514950519036167,0.0,0.025029901038072334
DSC02289,0.02578936502188121,0.018104272104409763,0.061800399655581366,0.011169805033768111,0.0,0.02337276836312809
DSC02372,0.0,0.0497734039599408,0.0,0.0,0.0,0.00995468079198816
1000032449,0.0,0.0,0.0,0.027503223198161536,0.0,0.005500644639632307
DSC02211,0.0,0.0,0.0,0.020617386698948324,0.0,0.004123477339789665
43,0.0,0.0,0.0,0.009447963787072512,0.0,0.0018895927574145023
72,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0
